barracks_status_dire,barracks_status_radiant,dire_score,duration,first_blood_time,radiant_score,radiant_win,tower_status_dire,tower_status_radiant,dire_win
6,2,40,37.3,4.0,17,0.0,6,2,1.0
4,6,24,36.3,2.7,32,1.0,3,8,0.0
3,0,55,51.8,0.1,50,0.0,4,0,1.0
6,4,60,36.2,0.4,29,0.0,8,2,1.0
6,0,30,28.0,1.1,24,0.0,11,0,1.0
0,6,31,54.4,0.0,42,1.0,0,8,0.0
6,2,40,44.7,0.9,25,0.0,7,0,1.0
6,2,41,43.9,1.3,35,0.0,7,1,1.0
6,0,58,53.5,1.6,46,0.0,5,0,1.0
4,4,44,51.0,1.3,51,1.0,3,2,0.0
6,6,32,20.0,3.2,5,0.0,11,6,1.0
4,6,10,22.6,3.0,29,1.0,4,11,0.0
6,0,57,47.9,1.9,37,0.0,6,0,1.0
2,6,22,33.8,2.7,48,1.0,1,8,0.0
6,2,33,26.6,1.6,14,0.0,7,1,1.0
6,0,32,38.3,1.2,13,0.0,8,0,1.0
2,6,45,41.6,0.6,58,1.0,1,6,0.0
6,2,55,33.3,0.1,30,0.0,9,2,1.0
4,6,25,40.1,1.3,39,1.0,2,5,0.0
0,6,23,24.4,1.3,38,1.0,0,11,0.0
6,0,39,29.8,0.4,18,0.0,9,0,1.0
0,6,13,25.8,0.2,36,1.0,0,9,0.0
4,6,28,37.4,0.8,37,1.0,1,9,0.0
6,2,52,39.5,1.2,47,0.0,4,1,1.0
2,3,76,65.4,2.0,57,1.0,1,2,0.0
1,0,45,38.8,0.2,40,0.0,2,0,1.0
6,0,55,59.8,0.2,62,0.0,5,0,1.0
4,6,12,22.3,1.6,48,1.0,2,11,0.0
0,6,15,27.4,1.6,33,1.0,0,10,0.0
1,6,31,40.4,1.1,44,1.0,0,8,0.0
6,2,45,38.0,2.8,32,0.0,8,1,1.0
6,0,53,41.8,2.8,35,0.0,9,0,1.0
2,6,18,33.6,2.8,49,1.0,1,11,0.0
0,6,27,36.6,1.6,58,1.0,0,11,0.0
6,0,38,33.8,0.6,31,0.0,10,0,1.0
1,0,41,57.8,0.0,45,1.0,0,1,0.0
6,0,49,52.3,0.2,46,0.0,6,0,1.0
4,5,27,37.8,1.0,34,1.0,2,6,0.0
4,0,38,44.8,0.6,43,0.0,3,0,1.0
4,6,48,56.9,4.6,56,1.0,2,6,0.0
0,6,26,32.8,1.4,46,1.0,0,10,0.0
6,0,79,62.2,0.9,51,0.0,8,0,1.0
6,2,49,37.0,1.8,29,0.0,9,0,1.0
4,3,54,49.6,2.1,45,1.0,5,1,0.0
6,0,52,48.9,0.0,39,0.0,5,0,1.0
2,5,31,37.4,1.2,40,1.0,1,7,0.0
6,0,41,26.8,0.2,8,0.0,10,0,1.0
6,4,55,37.8,0.2,32,0.0,7,1,1.0
0,6,29,41.4,3.1,47,1.0,0,9,0.0
6,0,41,44.4,0.4,41,0.0,4,0,1.0
0,6,39,40.9,1.8,48,1.0,0,8,0.0
6,2,49,26.9,0.7,13,0.0,10,2,1.0
6,2,45,40.8,0.2,22,0.0,5,2,1.0
6,0,34,31.4,1.7,17,0.0,7,0,1.0
5,2,34,41.5,0.1,44,1.0,3,4,0.0
2,6,50,43.5,2.0,53,1.0,1,7,0.0
4,6,13,23.2,0.0,39,1.0,2,11,0.0
6,0,55,32.9,0.2,21,0.0,11,0,1.0
6,0,45,38.1,3.4,30,0.0,7,0,1.0
2,2,45,48.6,0.1,38,0.0,0,2,1.0
6,0,48,38.3,0.8,31,0.0,9,0,1.0
6,2,25,31.2,2.8,17,0.0,9,2,1.0
4,6,23,29.5,2.8,26,1.0,2,10,0.0
6,0,51,41.5,0.0,30,0.0,6,0,1.0
2,6,21,33.5,0.0,54,1.0,2,10,0.0
0,6,50,49.8,2.0,63,1.0,0,6,0.0
5,2,37,42.3,0.3,41,1.0,3,4,0.0
6,0,55,38.9,2.8,25,0.0,8,0,1.0
6,0,44,54.2,0.8,38,0.0,7,0,1.0
6,0,48,34.3,0.2,26,0.0,8,0,1.0
6,4,52,32.8,0.1,22,0.0,10,1,1.0
4,2,56,58.9,0.2,54,0.0,4,0,1.0
0,6,25,42.5,0.8,51,1.0,0,8,0.0
2,4,54,57.9,0.4,36,1.0,1,4,0.0
5,2,47,42.6,2.3,27,0.0,4,2,1.0
6,0,46,35.9,4.6,18,0.0,11,0,1.0
6,2,40,31.2,3.6,27,0.0,9,2,1.0
2,5,43,55.4,0.9,57,1.0,2,3,0.0
6,4,29,32.4,0.0,38,0.0,6,3,1.0
0,6,13,21.6,0.0,33,1.0,0,11,0.0
6,0,38,41.6,0.0,41,0.0,5,0,1.0
2,3,49,47.3,0.2,63,1.0,1,3,0.0
0,6,27,34.2,1.3,58,1.0,0,10,0.0
6,2,46,34.3,1.2,21,0.0,11,1,1.0
6,2,55,31.1,0.0,22,0.0,10,1,1.0
2,6,55,52.4,0.8,66,1.0,1,4,0.0
4,6,28,32.4,3.7,58,1.0,3,9,0.0
4,6,38,33.0,0.4,39,1.0,2,8,0.0
2,6,30,39.2,1.7,41,1.0,1,7,0.0
0,6,26,31.7,1.9,46,1.0,0,8,0.0
6,2,50,46.7,0.0,44,0.0,8,1,1.0
6,2,33,23.2,1.6,9,0.0,9,1,1.0
0,6,21,34.1,1.3,37,1.0,0,5,0.0
6,0,27,25.2,0.5,17,0.0,9,0,1.0
1,6,15,29.2,0.9,45,1.0,0,11,0.0
4,6,32,34.8,1.8,58,1.0,3,7,0.0
0,6,23,35.6,0.7,44,1.0,0,10,0.0
2,6,20,28.6,1.5,63,1.0,1,11,0.0
4,6,24,44.4,0.8,39,1.0,2,8,0.0
0,6,37,42.0,1.6,47,1.0,0,9,0.0
6,0,47,31.4,3.4,24,0.0,10,0,1.0
2,6,19,30.7,0.1,60,1.0,1,9,0.0
5,3,65,61.0,0.7,70,1.0,2,3,0.0
0,6,34,44.5,1.2,50,1.0,0,5,0.0
6,3,44,44.7,1.0,32,0.0,8,1,1.0
4,6,29,31.0,1.1,49,1.0,3,9,0.0
2,2,44,48.7,0.5,48,1.0,2,3,0.0
2,6,30,37.0,1.6,38,1.0,1,7,0.0
4,6,17,31.0,1.8,27,1.0,4,9,0.0
6,4,48,30.3,0.2,18,0.0,10,1,1.0
0,6,19,29.9,0.2,55,1.0,0,11,0.0
5,2,53,49.4,2.8,53,0.0,4,1,1.0
6,4,53,41.0,1.6,24,0.0,8,3,1.0
6,0,35,35.5,0.4,24,0.0,6,0,1.0
4,4,17,32.0,2.2,37,1.0,4,5,0.0
0,6,17,29.4,0.1,31,1.0,0,10,0.0
6,2,45,55.2,1.8,41,1.0,3,2,0.0
6,4,41,28.8,1.2,4,0.0,10,2,1.0
3,4,45,43.9,1.7,39,1.0,1,3,0.0
2,6,23,28.8,0.1,32,1.0,2,8,0.0
6,1,39,40.0,0.1,16,0.0,9,0,1.0
6,4,48,47.3,4.3,45,0.0,4,3,1.0
6,0,47,42.9,0.7,24,0.0,8,0,1.0
6,6,41,42.6,2.0,41,1.0,3,6,0.0
6,2,44,31.2,0.7,6,0.0,11,1,1.0
6,2,51,38.4,0.4,39,0.0,6,2,1.0
6,2,32,27.0,2.3,11,0.0,9,1,1.0
0,6,29,32.7,0.1,41,1.0,0,8,0.0
6,4,57,45.7,0.9,39,0.0,5,4,1.0
4,6,43,41.1,2.8,37,1.0,3,7,0.0
4,4,46,49.8,2.2,58,0.0,2,4,1.0
6,2,37,38.4,2.8,36,0.0,7,1,1.0
6,0,84,43.8,0.1,38,0.0,9,0,1.0
6,1,47,31.6,0.5,27,0.0,8,0,1.0
0,6,38,50.0,0.2,63,1.0,0,7,0.0
2,6,15,31.8,3.8,37,1.0,2,9,0.0
4,6,24,31.9,3.1,36,1.0,2,9,0.0
6,0,60,50.9,0.0,45,0.0,4,0,1.0
6,0,56,33.7,1.8,19,0.0,9,0,1.0
5,4,27,43.8,2.0,29,0.0,3,3,1.0
6,0,36,46.6,0.1,21,0.0,7,0,1.0
6,2,44,32.4,1.1,18,0.0,11,1,1.0
6,2,56,34.8,2.5,26,0.0,10,0,1.0
6,0,40,41.3,0.0,25,0.0,7,0,1.0
2,6,26,32.4,1.2,55,1.0,1,10,0.0
4,6,37,34.6,0.2,41,1.0,4,5,0.0
6,5,42,42.4,1.9,27,0.0,8,2,1.0
4,5,48,49.3,0.8,52,1.0,3,4,0.0
6,0,52,40.1,0.1,24,0.0,8,0,1.0
6,0,43,32.8,2.4,24,0.0,10,0,1.0
6,0,55,51.8,1.4,37,0.0,8,0,1.0
4,6,22,26.4,0.0,59,1.0,2,10,0.0
0,6,32,46.8,2.8,70,1.0,0,9,0.0
6,2,54,31.0,0.2,16,0.0,8,1,1.0
6,0,50,35.7,1.8,19,0.0,9,0,1.0
6,2,37,40.0,0.3,22,0.0,5,2,1.0
6,3,45,31.3,0.2,26,0.0,9,2,1.0
2,6,37,47.0,3.4,36,1.0,2,7,0.0
0,6,15,25.8,0.6,31,1.0,0,11,0.0
6,0,46,56.0,1.8,39,0.0,6,0,1.0
0,6,31,36.4,5.6,42,1.0,0,8,0.0
